"Date","Day Length","Soil Temperature","Air Temperature"
"2016-11-29",9.38,5.563,8.564
"2016-11-30",9.35,5.3405,8.7385
"2016-12-01",9.33,4.6465,8.75
"2016-12-02",9.31,4.1715,8.675
"2016-12-03",9.29,3.53,8.994
"2016-12-04",9.27,3.658,10.86
"2016-12-05",9.26,3.212,10.57
"2016-12-06",9.24,2.8915,9.21
"2016-12-07",9.22,2.964,11.0195
"2016-12-08",9.21,3.0155,9.898
"2016-12-09",9.19,2.475,8.27
"2016-12-10",9.18,2.3945,9.337
"2016-12-11",9.17,2.0805,7.952
"2016-12-12",9.16,1.5835,9.2695
"2016-12-13",9.15,1.305,8.945
"2016-12-14",9.14,1.3925,7.085
"2016-12-15",9.13,0.9125,7.184
"2016-12-16",9.13,1.3915,8.4235
"2016-12-17",9.12,0.5015,6.168
"2016-12-18",9.12,0.816,6.5035
"2016-12-19",9.12,0.616,6.7425
"2016-12-20",9.11,0.2835,14.345
"2016-12-21",9.11,0.7905,11.495
"2016-12-22",9.11,1.3545,9.653
"2016-12-23",9.12,1.423,11.423
"2016-12-24",9.12,1.472,10.599
"2016-12-25",9.12,1.159,7.6825
"2016-12-26",9.13,1.214,11.5615
"2016-12-27",9.14,1.039,10.4935
"2016-12-28",9.14,1.127,9.865
"2016-12-29",9.15,0.5865,5.866
"2016-12-30",9.16,0.5975,4.399
"2016-12-31",9.17,0.374,6.217
"2017-01-01",9.18,0.1365,6.893
"2017-01-02",9.2,-0.2085,5.903
"2017-01-03",9.21,-0.4385,6.3425
"2017-01-04",9.22,-0.2265,5.614
"2017-01-05",9.24,-0.09,2.736
"2017-01-06",9.26,-0.9245,0.428
"2017-01-07",9.28,-1.234,-2.0005
"2017-01-08",9.3,-1.481,1.276
"2017-01-09",9.31,-1.3885,2.337
"2017-01-10",9.34,-1.283,1.2015
"2017-01-11",9.36,-1.8845,1.063
"2017-01-12",9.38,-1.8615,2.434
"2017-01-13",9.4,-2.254,7.396
"2017-01-14",9.43,-1.859,5.7105
"2017-01-15",9.45,-1.818,3.7725
"2017-01-16",9.48,-1.9265,6.4065
"2017-01-17",9.51,-2.0885,5.88
"2017-01-18",9.53,-1.7085,9.38
"2017-01-19",9.56,-1.842,8.266
"2017-01-20",9.59,-1.4345,8.185
"2017-01-21",9.62,-0.9265,7.806
"2017-01-22",9.65,-0.846,11.595
"2017-01-23",9.68,-0.6355,11.2
"2017-01-24",9.72,-0.3125,9.855
"2017-01-25",9.75,-0.2845,9.87
